"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BRA","FDISTOCK","INWARD","MLN_USD","A","2005",177915,
"BRA","FDISTOCK","INWARD","MLN_USD","A","2006",213021,
"BRA","FDISTOCK","INWARD","MLN_USD","A","2007",292531,
"BRA","FDISTOCK","INWARD","MLN_USD","A","2008",260531,
"BRA","FDISTOCK","INWARD","MLN_USD","A","2009",367183,
"BRA","FDISTOCK","INWARD","MLN_USD","A","2010",640330,
"BRA","FDISTOCK","INWARD","MLN_USD","A","2011",649126,
"BRA","FDISTOCK","INWARD","MLN_USD","A","2012",664208,
"BRA","FDISTOCK","INWARD","MLN_USD","A","2013",627789,
"BRA","FDISTOCK","INWARD","MLN_USD","A","2014",601490,
"BRA","FDISTOCK","INWARD","MLN_USD","A","2015",429843,
"BRA","FDISTOCK","INWARD","MLN_USD","A","2016",563539,
"BRA","FDISTOCK","INWARD","MLN_USD","A","2017",623020.846625,
"BRA","FDISTOCK","INWARD","MLN_USD","A","2018",568741.43688209,
"RUS","FDISTOCK","INWARD","MLN_USD","A","2005",178635,
"RUS","FDISTOCK","INWARD","MLN_USD","A","2006",263903,
"RUS","FDISTOCK","INWARD","MLN_USD","A","2007",488280,
"RUS","FDISTOCK","INWARD","MLN_USD","A","2008",212887,
"RUS","FDISTOCK","INWARD","MLN_USD","A","2009",367379,
"RUS","FDISTOCK","INWARD","MLN_USD","A","2010",464228,
"RUS","FDISTOCK","INWARD","MLN_USD","A","2011",408942,
"RUS","FDISTOCK","INWARD","MLN_USD","A","2012",438195,
"RUS","FDISTOCK","INWARD","MLN_USD","A","2013",471475,
"RUS","FDISTOCK","INWARD","MLN_USD","A","2014",290039,
"RUS","FDISTOCK","INWARD","MLN_USD","A","2015",262748,
"RUS","FDISTOCK","INWARD","MLN_USD","A","2016",393910,
"RUS","FDISTOCK","INWARD","MLN_USD","A","2017",441123,
"RUS","FDISTOCK","INWARD","MLN_USD","A","2018",408097,
"ZAF","FDISTOCK","INWARD","MLN_USD","A","2005",96693.280632411,
"ZAF","FDISTOCK","INWARD","MLN_USD","A","2006",106928.98134864,
"ZAF","FDISTOCK","INWARD","MLN_USD","A","2007",131831.13069016,
"ZAF","FDISTOCK","INWARD","MLN_USD","A","2008",83648.790972595,
"ZAF","FDISTOCK","INWARD","MLN_USD","A","2009",138750.81300813,
"ZAF","FDISTOCK","INWARD","MLN_USD","A","2010",179564.35852585,
"ZAF","FDISTOCK","INWARD","MLN_USD","A","2011",159390.51197976,
"ZAF","FDISTOCK","INWARD","MLN_USD","A","2012",163508.91638827,
"ZAF","FDISTOCK","INWARD","MLN_USD","A","2013",152123.47114844,
"ZAF","FDISTOCK","INWARD","MLN_USD","A","2014",138904.41239962,
"ZAF","FDISTOCK","INWARD","MLN_USD","A","2015",126755.35541975,
"ZAF","FDISTOCK","INWARD","MLN_USD","A","2016",135453.03080127,
"ZAF","FDISTOCK","INWARD","MLN_USD","A","2017",156103.20226996,
"ZAF","FDISTOCK","INWARD","MLN_USD","A","2018",138409.99416359,
